Brand,Model_Info,Model_Details,Image_Link
Dell,"Dell 27 Monitor - P2722H - Full HD 1080p, IPS Technology, 8 ms Response Time","
 About this item    Package Dimensions: 7.48 Lx 24.01 Hx 21.03 W (inches)    Package Weight: 20.52 pounds    Country of Origin : China
",https://m.media-amazon.com/images/I/61v+Nizxe3L._AC_SY300_SX300_.jpg
Dell,"Dell 27 inch Monitor FHD (1920 x 1080) 16:9 Ratio with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare Screen with 3H Hardness, Black - SE2722HX","
 About this item    SLEEK DESIGN: 27 inch monitor with Full HD, an HDMI input, 75hz refresh rate, and a resolution of 1920x1080, this desktop monitor is perfect for both home and office use.Aspect ratio:16:9.Viewing Angle:178.0 degrees    VERSATILE CONNECTIVITY: Boost productivity as a secondary PC monitor at work or at home office with HDMI and VGA inputs. Great as a second monitor for laptop or desktop computers    SMALL-FOOTPRINT: Built-in power supply unit and cable holder reduce clutter freeing workspace and to regain your desk real estate    OPTIMAL COMFORT: Easy tilt 75Hz monitor with 4ms response time and an anti-glare coating time delivers smooth, blur-free images ideal for a variety of lighting conditions, Vertical Viewing Angle - 178    DELL SERVICES: 1 Year Advanced Exchange Service. If your warranty issue cant be resolved remotely, Dell will send a replacement monitor the next business day
",https://m.media-amazon.com/images/I/81PVpvJQBeL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,"Dell E2222H 21.5"" Full HD LED LCD Monitor - 16:9 - Black","
 About this item    16:9 widescreen resolution perfect for watching movies, playing video games and getting on with office work    21.5"" screen size with 1920x1080 resolution provides a native display of a Full HD video sources without any degradation due to down-sampling technologies    5 ms GTG (Fast) response time makes it excellent for latest action films, sports or gaming    LED backlight technology provides for industry-leading low power consumption and less hazardous materials
",https://m.media-amazon.com/images/I/91bVYFoCs1L.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,"Dell E2221HN 21.5"" Full HD WLED LCD Monitor - 16:9 - Black","
 About this item    5 ms GTG response time makes it excellent for latest action films, sports or gaming    16:9 widescreen resolution perfect for watching movies, playing video games and getting on with office work    250 Nit brightness gives an exceptional visible display for clear and consistent on-screen pictures
",https://m.media-amazon.com/images/I/81HWI2fl3tL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,"Dell 24 inch Monitor FHD (1920 x 1080) 16:9 Ratio with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare Screen with 3H Hardness, Black - SE2422HX
[E2424HS]","
 About this item    SLEEK DESIGN: 24 inch monitor with Full HD, an HDMI input, 75hz refresh rate, and a resolution of 1920x1080, this desktop monitor is perfect for both home and office use, Screen Coating - Anti-glare, 3H Hard Coating    VERSATILE CONNECTIVITY: Boost productivity as a secondary PC monitor at work or at home office with HDMI and VGA inputs. Great as a second monitor for laptop or desktop computers    SMALL-FOOTPRINT: Built-in power supply unit and cable holder reduce clutter freeing workspace and to regain your desk real estate    OPTIMAL COMFORT: Easy tilt 75Hz monitor with 5ms response time and an anti-glare coating time delivers smooth, blur-free images ideal for a variety of lighting conditions    DELL SERVICES: 1 Year Advanced Exchange Service. If your warranty issue cant be resolved remotely, Dell will send a replacement monitor the next business day
",https://m.media-amazon.com/images/I/61O589rO+1L._AC_SY300_SX300_.jpg
Dell,"Dell E2221HN 21.5"" Full HD WLED LCD Monitor - 16:9 - Black","
 About this item    5 ms GTG response time makes it excellent for latest action films, sports or gaming    16:9 widescreen resolution perfect for watching movies, playing video games and getting on with office work    250 Nit brightness gives an exceptional visible display for clear and consistent on-screen pictures
",https://m.media-amazon.com/images/I/81HWI2fl3tL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,"Dell S2421HN 24 Inch Full HD 1080p (1920 x 1080) 75Hz IPS Ultra-Thin Bezel Monitor 2 x HDMI Ports, Audio Line Out, Adaptive AMD FreeSync, Silver","
 About this item    Dell S2421HN 24 Inch Full HD 1080p
",https://m.media-amazon.com/images/I/71Mjl-5Z2sL.__AC_SY300_SX300_QL70_ML2_.jpg
Dell,"Dell 24 Monitor - P2422H - Full HD 1080p, IPS Technology, ComfortView Plus Technology","
 About this item    Package Dimensions: 7.07 Lx 21.17 Hx 19.53 W (inches)    Package Weight: 17.53 pounds    Country of Origin : China
",https://m.media-amazon.com/images/I/61gwkgOCxWL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,"Dell 24, HD Video Conferencing Monitor - C2422HE with POP-UP 5MP IR Camera Dual 5W Integrated Speakers and a Dedicated Microsoft Teams Button,Gray","
 About this item    Immersive collaboration: Collaborate like you’re there. Razor-sharp video clarity of the pop-up 5MP IR camera gives you more than twice the details and zoom of a 2MP on a wide, beautiful screen. Dual 5W integrated speakers deliver clear, vibrant communication from any workspace quashing background chatter with noise-cancelling microphone    Enhanced security: The pop-up web camera hides safely out of sight when not in use, and there’s an intelligent layer of security with facial recognition through Windows Hello.    Seamless video from all angles: FHD video with 30 frames per second rate delivers seamless, media-quality video and stunning screen clarity. The 178°/178° wide viewing angle presents superior views and consistent colors ideal for video conferencing.    Connect to productivity: With wired connectivity options like RJ45 and USB-C, your monitor delivers reliable Etherneti, power, audio and video—all in a clutter-free setup.    The power of USB-C: Get up to 90W of power delivery via USB-C, and charge your laptop (even when the monitor is off) with the Always On Power Delivery feature. This single-cable solution also saves up to 72% of workspace setup timei, reduces cable clutter and transmits power, data and audio—all at once
",https://m.media-amazon.com/images/I/91HtjxIccFL.__AC_SX300_SY300_QL70_ML2_.jpg
